household_key,frequency,recency,T,monetary_value,gasto_esperado,prob_vivo,clv_12m,nivel_valor,estado,segmento
1,77.0,655.0,660.0,55.214285714285715,55.18752804744328,0.9997770776219166,2175.36326480524,Alto,Activo,Alto · Activo
2,44.0,565.0,608.0,43.90090909090909,43.89850590971866,0.9943449369262934,1080.8435892544553,Medio,En riesgo,Medio · En riesgo
3,45.0,590.0,598.0,57.92,57.86391700323313,0.9996114373701386,1487.7450457585812,Medio,Activo,Medio · Activo
4,29.0,523.0,607.0,37.03,37.06713980352214,0.973023790961004,599.3920457334851,Bajo,En riesgo,Bajo · En riesgo
5,32.0,618.0,626.0,24.205625,24.30831682744227,0.9995528066439915,430.34304846180447,Bajo,Activo,Bajo · Activo
6,219.0,589.0,593.0,27.133333333333333,27.146094980694382,0.9998096995626943,3339.7080327337035,Alto,Activo,Alto · Activo
7,58.0,686.0,688.0,57.19103448275862,57.149654031787385,0.9998057247245097,1638.9562400876075,Medio,Activo,Medio · Activo
8,102.0,641.0,646.0,51.61009803921569,51.595995134630776,0.9997930492573175,2738.91375700675,Alto,Activo,Alto · Activo
9,19.0,585.0,607.0,41.15157894736842,41.17086987062565,0.9989850494241258,459.1491972586317,Bajo,Activo,Bajo · Activo
10,4.0,571.0,597.0,44.947500000000005,44.87863950984953,0.997544701752099,135.64345976841767,Bajo,En riesgo,Bajo · En riesgo
11,4.0,302.0,601.0,4.8625,6.456747347976658,0.9293855205547128,18.063109641407827,Bajo,En riesgo,Bajo · En riesgo
12,6.0,432.0,639.0,36.605,36.79243615923968,0.9763040221452356,139.0750360923282,Bajo,En riesgo,Bajo · En riesgo
13,202.0,608.0,610.0,65.08861386138614,65.06994357190702,0.9999081729840649,7186.782872251148,Alto,Activo,Alto · Activo
14,96.0,700.0,707.0,28.046875,28.074313411084244,0.999740960717567,1284.6639889389064,Medio,Activo,Medio · Activo
15,47.0,683.0,689.0,20.586170212765957,20.669492991229173,0.9996943185281173,482.37071032082713,Bajo,Activo,Bajo · Activo
16,89.0,592.0,613.0,16.26561797752809,16.318085176313776,0.9976229460305618,795.6615671360227,Medio,En riesgo,Medio · En riesgo
17,100.0,665.0,687.0,49.7329,49.72176011950831,0.9975332381078745,2431.025575240744,Alto,En riesgo,Alto · En riesgo
18,131.0,617.0,617.0,54.02526717557252,54.011094270120886,0.9999267772818137,3840.5530970031805,Alto,Activo,Alto · Activo
19,295.0,638.0,638.0,38.092169491525425,38.0952171229062,0.9999673470541611,5866.842786852054,Alto,Activo,Alto · Activo
20,295.0,630.0,630.0,25.34393220338983,25.35445765385492,0.9999673470541611,3953.3797756812955,Alto,Activo,Alto · Activo
21,22.0,610.0,639.0,38.54090909090909,38.57797570998037,0.9987734889864701,468.9471642841879,Bajo,Activo,Bajo · Activo
22,118.0,686.0,686.0,52.3328813559322,52.31962891996275,0.9999187779511872,3023.3731406432667,Alto,Activo,Alto · Activo
23,99.0,602.0,602.0,29.137474747474748,29.162179116737548,0.9999033452794449,1611.0901673633562,Medio,Activo,Medio · Activo
