COMMODITY_DESC,encarecido,normal,rebajado,efecto_rebaja_pct,n_total,n_rebajado
DRY BN/VEG/POTATO/RICE,1.246796196775527,1.3251994680851065,1.357793251205142,2.459537896369146,21193,3734
CHICKEN/POULTRY,1.0782122905027933,1.1012987012987012,1.1272015655577299,2.352028948048601,6259,511
FIRST AID PRODUCTS,1.0728476821192052,1.0720382383065892,1.0970149253731343,2.329831733054477,3214,134
LAUNDRY DETERGENTS,1.063170441001192,1.0571831427228575,1.081164807930607,2.268449452001575,8836,1614
IMPORTED WINE,1.093833780160858,1.1402135231316726,1.165165165165165,2.1883306527501256,2111,333
CHICKEN,1.4201624937821258,1.4817654759678325,1.5128779395296752,2.0996887878981907,17629,6251
IN-STORE PHOTOFINISHING,1.22265625,1.38135593220339,1.4103194103194103,2.0967425875401347,899,407
MEAT - SHELF STABLE,1.9246275197195442,1.8272145076406061,1.8652230726152697,2.0801369962710092,23410,5357
BROOMS AND MOPS,1.1976470588235295,1.1083929243507715,1.130977130977131,2.0375632260182464,3563,481
SNKS/CKYS/CRKR/CNDY,1.4076923076923078,1.4455917394757745,1.4726027397260273,1.8685082041246304,1535,146
CANNED JUICES,1.2582716049382716,1.2107542606445807,1.2331211953514112,1.8473554406426507,29057,7228
INFANT CARE PRODUCTS,1.1111111111111112,1.0676100628930818,1.0862068965517242,1.741912548880209,1420,58
PREPARED FOOD,1.1875409836065574,1.1629515757109916,1.1799324650265317,1.4601544613032091,4899,2073
SEAFOOD - MISC,1.0681818181818181,1.0901563937442502,1.1058823529411765,1.4425415735914715,1216,85
DINNER SAUSAGE,1.5471854304635762,1.3242051282051281,1.3408820023837902,1.2593875241418528,11797,839
TOYS AND GAMES,1.2906976744186047,1.2554517133956387,1.2708333333333333,1.2251861042183565,2328,144
MISC WINE,1.0870967741935484,1.1254612546125462,1.1387096774193548,1.1771549444738127,1433,310
MUSHROOMS,1.0851581508515815,1.1304643261608154,1.1428571428571428,1.0962589804505152,4952,126
BEANS - CANNED GLASS & MW,1.64987012987013,1.7214827536854158,1.7371281464530892,0.9088323849994584,12408,3496
NUTS,1.1367521367521367,1.1174418604651162,1.127388535031847,0.8901290455139099,1994,157
EGGS,1.2359249329758712,1.1981424148606812,1.2073153899240856,0.7655997275141102,28394,7245
HOT CEREAL,1.1239092495636998,1.1128133704735377,1.1207502930832356,0.7132303421480746,6452,853
FRZN VEGETABLE/VEG DSH,1.4888698630136987,1.4062681369704004,1.4160493827160494,0.6955462822844982,22551,2430
TOBACCO OTHER,1.0442477876106195,1.2130257801899593,1.2210526315789474,0.6617214176380504,945,95
BAKED SWEET GOODS,1.125418060200669,1.1353396463008605,1.1419558359621451,0.5827498126081743,27702,1585
CRACKERS/MISC BKD FD,1.125,1.1103405690400419,1.11660777385159,0.5644398652358218,29690,4245
PAPER HOUSEWARES,1.1425356339084771,1.1638367967562089,1.1702721563154221,0.5529434691487367,10658,1433
