segmento,n_hogares,clv_medio,clv_total,descuento_medio_eur,descuento_total_eur,pct_valor,pct_descuento,eficiencia
Cazador de ofertas,501,1175.5709112073382,588961.0265148764,639.085389221557,320181.78,14.531581967216711,23.14096937905488,0.6279590854292124
Indiferente al precio,578,1164.1981777436097,669413.9522025755,278.7748269896193,161131.84999999998,16.51661702301877,11.645719524828873,1.4182564664901178
Intensivo,163,4670.388475865085,761273.3215660088,1502.6304294478527,244928.75999999998,18.783086102068857,17.70209702503959,1.061065594403884
Premium,366,2689.0901223637397,984206.9847851287,781.1977595628417,285918.38000000006,24.283583850604852,20.66460020457434,1.1751296231334496
Rutinario,892,1176.1404184442254,1049117.253252249,416.4278139013454,371453.6100000001,25.88513105709081,26.846613866502317,0.9641860677777621
